max_basin_gap_rel,min_local_identifiability,accepted,improved,worsened,unchanged,improvement_fraction_accepted,accepted_mean_delta_ae_nm,overall_mean_delta_ae_nm,accepted_q95_delta_ae_nm,max_worsening_nm
2.5,0.7,85,60,25,0,0.7058823529411765,-0.04335500028291997,-0.0005118298644511385,1.9781605557064719,3.232426492243235
2.5,0.75,81,58,23,0,0.7160493827160493,-0.04984069904290363,-0.0005607078642326659,2.0079461787107675,3.232426492243235
2.5,0.8,81,58,23,0,0.7160493827160493,-0.04984069904290363,-0.0005607078642326659,2.0079461787107675,3.232426492243235
2.5,0.82,80,58,22,0,0.725,-0.05353996993167631,-0.0005948885547964037,2.015980326145836,3.232426492243235
3.0,0.7,102,70,32,0,0.6862745098039216,-0.052516884214009144,-0.0007439891930317964,1.9079116836866314,3.232426492243235
3.0,0.75,93,65,28,0,0.6989247311827957,-0.05998578806615209,-0.000774816429187798,1.949469490748833,3.232426492243235
3.0,0.8,93,65,28,0,0.6989247311827957,-0.05998578806615209,-0.000774816429187798,1.949469490748833,3.232426492243235
3.0,0.82,92,65,27,0,0.7065217391304348,-0.06331281806751148,-0.0008089971197515358,1.954342548078995,3.232426492243235
3.5,0.7,133,99,34,0,0.7443609022556391,-0.151395562850999,-0.0027966124804420654,1.8485855706180472,3.232426492243235
3.5,0.75,116,86,30,0,0.7413793103448276,-0.1715690313170582,-0.002764167726774827,1.8718848057938544,3.232426492243235
3.5,0.8,116,86,30,0,0.7413793103448276,-0.1715690313170582,-0.002764167726774827,1.8718848057938544,3.232426492243235
3.5,0.82,115,86,29,0,0.7478260869565218,-0.17520094438989275,-0.0027983484173385647,1.874458154214767,3.232426492243235
4.0,0.7,190,143,47,0,0.7526315789473684,-0.24549659947919292,-0.006478382486256481,1.213808334569359,3.232426492243235
4.0,0.75,164,122,42,0,0.7439024390243902,-0.28038468190394206,-0.006386539976700903,1.7024574632043288,3.232426492243235
4.0,0.8,164,122,42,0,0.7439024390243902,-0.28038468190394206,-0.006386539976700903,1.7024574632043288,3.232426492243235
4.0,0.82,163,122,41,0,0.7484662576687117,-0.2836146552411375,-0.006420720667264641,1.7230964564812121,3.232426492243235
5.0,0.7,261,165,96,0,0.632183908045977,-0.20564223503562024,-0.007454531020041234,0.6060065709850733,3.232426492243235
5.0,0.75,235,144,91,0,0.6127659574468085,-0.22558024372551796,-0.0073626885104856555,0.7020250196170827,3.232426492243235
5.0,0.8,235,144,91,0,0.6127659574468085,-0.22558024372551796,-0.0073626885104856555,0.7020250196170827,3.232426492243235
5.0,0.82,234,144,90,0,0.6153846153846154,-0.2275959754169044,-0.007396869201049394,0.7168902186726694,3.232426492243235
,0.7,295,172,123,0,0.5830508474576271,-0.1754296966920677,-0.007187744517244441,0.5827123418017096,3.232426492243235
,0.75,269,151,118,0,0.5613382899628253,-0.189927488681635,-0.007095902007688864,0.5982860840810644,3.232426492243235
,0.8,269,151,118,0,0.5613382899628253,-0.189927488681635,-0.007095902007688864,0.5982860840810644,3.232426492243235
,0.82,267,150,117,0,0.5617977528089888,-0.19225779112582841,-0.007129559754249471,0.6002162058070665,3.232426492243235
