scenario,comparison,endpoint,estimate,ci95_low,ci95_high
Gaussian,E3-E0,mean,0.008704898134890641,0.007890095503329456,0.009533839221063106
Gaussian,E3-E0,q90,0.009698719989760823,0.002474743116695583,0.012606259502294643
Gaussian,E3-E0,q95,0.0016699883841566898,-0.001933068762731331,0.009455020586567008
Gaussian,E3-E1,mean,0.00040000000000000013,3.400256390745174e-05,0.0007638481059660142
Gaussian,E3-E1,q90,1.127383413593308e-05,-0.0031018336661731137,0.0029053950053133334
Gaussian,E3-E1,q95,-6.462840731336073e-05,-0.003274131953322393,0.005660847848995863
Impulsive,E3-E0,mean,-1.2437595900579688,-1.2779927745834907,-1.2137711918635965
Impulsive,E3-E0,q90,-1.9849544334274871,-2.033772248470251,-1.9317358844073365
Impulsive,E3-E0,q95,-2.1432097997032264,-2.188789503329501,-2.0736200461206273
Impulsive,E3-E1,mean,-0.015199999999999998,-0.019054408353402025,-0.01109295061981159
Impulsive,E3-E1,q90,-0.04573301722549483,-0.05837719610206074,-0.03353167990994948
Impulsive,E3-E1,q95,-0.044409609612765744,-0.06362487631775311,-0.026061887326163612
Baseline drift,E3-E0,mean,-0.16036141055859648,-0.17251358639296807,-0.14831419989130562
Baseline drift,E3-E0,q90,-0.3349473620090468,-0.3564393696378649,-0.3063901810963578
Baseline drift,E3-E0,q95,-0.35473704414191953,-0.3927295591534581,-0.32579406348299467
Baseline drift,E3-E1,mean,-0.07360000000000001,-0.07915105803311295,-0.0680505582408683
Baseline drift,E3-E1,q90,-0.12016290894261056,-0.1345304305744715,-0.09888773753492133
Baseline drift,E3-E1,q95,-0.13003020108666474,-0.15063705536902638,-0.10577680012305314
Mixed,E3-E0,mean,-0.41051698811934384,-0.7762690023783727,-0.21693437979835636
Mixed,E3-E0,q90,-0.5405191010641694,-0.574301570986073,-0.504211487221366
Mixed,E3-E0,q95,-0.5972771126132104,-0.6517752608653058,-0.5568870119625062
Mixed,E3-E1,mean,-0.0308,-0.035531360314639146,-0.02597512301215138
Mixed,E3-E1,q90,-0.06326806878412472,-0.07792817576667167,-0.04837034616864207
Mixed,E3-E1,q95,-0.05508156514642659,-0.08531988485772599,-0.03338303593562279
